8450,Inside,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,856,GasA,Y,856,854,1,0,2,1,3,1,8,0,Attchd,2003,2,548,Y,0,61,0,0,0,0,208500
9600,FR2,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,MetalSd,CBlock,Gd,TA,Gd,1262,GasA,Y,1262,0,0,1,2,0,3,1,6,1,Attchd,1976,2,460,Y,298,0,0,0,0,0,181500
11250,Inside,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Mn,920,GasA,Y,920,866,1,0,2,1,3,1,6,1,Attchd,2001,2,608,Y,0,42,0,0,0,0,223500
9550,Corner,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,Wd Shng,BrkTil,TA,Gd,No,756,GasA,Y,961,756,1,0,1,0,3,1,7,1,Detchd,1998,3,642,Y,0,35,272,0,0,0,140000
14260,FR2,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,1145,GasA,Y,1145,1053,1,0,2,1,4,1,9,1,Attchd,2000,3,836,Y,192,84,0,0,0,0,250000
14115,Inside,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,VinylSd,Wood,Gd,TA,No,796,GasA,Y,796,566,1,0,1,1,1,1,5,0,Attchd,1993,2,480,Y,40,30,0,320,0,0,143000
10084,Inside,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1686,GasA,Y,1694,0,1,0,2,0,3,1,7,1,Attchd,2004,2,636,Y,255,57,0,0,0,0,307000
10382,Corner,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,HdBoard,CBlock,Gd,TA,Mn,1107,GasA,Y,1107,983,1,0,2,1,3,1,7,2,Attchd,1973,2,484,Y,235,204,228,0,0,0,200000
6120,Inside,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,Wd Shng,BrkTil,TA,TA,No,952,GasA,Y,1022,752,0,0,2,0,2,2,8,2,Detchd,1931,2,468,Y,90,0,205,0,0,0,129900
7420,Corner,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,991,GasA,Y,1077,0,1,0,1,0,2,2,5,2,Attchd,1939,1,205,Y,0,4,0,0,0,0,118000
11200,Inside,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,1040,GasA,Y,1040,0,1,0,1,0,3,1,5,0,Detchd,1965,1,384,Y,0,0,0,0,0,0,129500
11924,Inside,1Fam,2Story,9,5,2005,Hip,CompShg,WdShing,Wd Shng,PConc,Ex,TA,No,1175,GasA,Y,1182,1142,1,0,3,0,4,1,11,2,BuiltIn,2005,3,736,Y,147,21,0,0,0,0,345000
12968,Inside,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,Plywood,CBlock,TA,TA,No,912,GasA,Y,912,0,1,0,1,0,2,1,4,0,Detchd,1962,1,352,Y,140,0,0,0,176,0,144000
10652,Inside,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,1494,GasA,Y,1494,0,0,0,2,0,3,1,7,1,Attchd,2006,3,840,Y,160,33,0,0,0,0,279500
10920,Corner,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,1253,GasA,Y,1253,0,1,0,1,1,2,1,5,1,Attchd,1960,1,352,Y,0,213,176,0,0,0,157000
6120,Corner,1Fam,1.5Unf,7,8,1929,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,TA,No,832,GasA,Y,854,0,0,0,1,0,2,1,5,0,Detchd,1991,2,576,Y,48,112,0,0,0,0,132000
11241,CulDSac,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,1004,GasA,Y,1004,0,1,0,1,0,2,1,5,1,Attchd,1970,2,480,Y,0,0,0,0,0,0,149000
10791,Inside,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,MetalSd,Slab,NA,NA,NA,0,GasA,Y,1296,0,0,0,2,0,2,2,6,0,CarPort,1967,2,516,Y,0,0,0,0,0,0,90000
13695,Inside,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,PConc,TA,TA,No,1114,GasA,Y,1114,0,1,0,1,1,3,1,6,0,Detchd,2004,2,576,Y,0,102,0,0,0,0,159000
7560,Inside,1Fam,1Story,5,6,1958,Hip,CompShg,BrkFace,Plywood,CBlock,TA,TA,No,1029,GasA,Y,1339,0,0,0,1,0,3,1,6,0,Attchd,1958,1,294,Y,0,0,0,0,0,0,139000
14215,Corner,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1158,GasA,Y,1158,1218,0,0,3,1,4,1,9,1,BuiltIn,2005,3,853,Y,240,154,0,0,0,0,325300
7449,Inside,1Fam,1.5Unf,7,7,1930,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,TA,TA,No,637,GasA,Y,1108,0,0,0,1,0,3,1,6,1,Attchd,1930,1,280,N,0,0,205,0,0,0,139400
9742,Inside,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1777,GasA,Y,1795,0,0,0,2,0,3,1,7,1,Attchd,2002,2,534,Y,171,159,0,0,0,0,230000
4224,Inside,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,CmentBd,PConc,Gd,TA,No,1040,GasA,Y,1060,0,1,0,1,0,3,1,6,1,Attchd,1976,2,572,Y,100,110,0,0,0,0,129900
8246,Inside,1Fam,1Story,5,8,1968,Gable,CompShg,Plywood,Plywood,CBlock,TA,TA,Mn,1060,GasA,Y,1060,0,1,0,1,0,3,1,6,1,Attchd,1968,1,270,Y,406,90,0,0,0,0,154000
14230,Corner,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1566,GasA,Y,1600,0,0,0,2,0,3,1,7,1,Attchd,2007,3,890,Y,0,56,0,0,0,0,256300
7200,Corner,1Fam,1Story,5,7,1951,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,Mn,900,GasA,Y,900,0,0,1,1,0,3,1,5,0,Detchd,2005,2,576,Y,222,32,0,0,0,0,134800
11478,Inside,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,1704,GasA,Y,1704,0,1,0,2,0,3,1,7,1,Attchd,2008,3,772,Y,0,50,0,0,0,0,306000
16321,CulDSac,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,Gd,1484,GasA,Y,1600,0,1,0,1,0,2,1,6,2,Attchd,1957,1,319,Y,288,258,0,0,0,0,207500
6324,Inside,1Fam,1Story,4,6,1927,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,520,GasA,N,520,0,0,0,1,0,1,1,4,0,Detchd,1920,1,240,Y,49,0,87,0,0,0,68500
8500,Inside,1Fam,2Story,4,4,1920,Gambrel,CompShg,BrkFace,BrkFace,BrkTil,TA,TA,No,649,GasA,N,649,668,0,0,1,0,3,1,6,0,Detchd,1920,1,250,N,0,54,172,0,0,0,40000
8544,CulDSac,1Fam,1Story,5,6,1966,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,1228,GasA,Y,1228,0,0,0,1,1,3,1,6,0,Attchd,1966,1,271,Y,0,65,0,0,0,0,149350
11049,Corner,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1234,GasA,Y,1234,0,0,0,2,0,3,1,7,0,Attchd,2007,2,484,Y,0,30,0,0,0,0,179900
10552,Inside,1Fam,1Story,5,5,1959,Hip,CompShg,BrkFace,BrkFace,CBlock,TA,TA,No,1398,GasA,Y,1700,0,0,1,1,1,4,1,6,1,Attchd,1959,2,447,Y,0,38,0,0,0,0,165500
7313,Inside,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,PConc,Ex,TA,No,1561,GasA,Y,1561,0,1,0,2,0,2,1,6,1,Attchd,2005,2,556,Y,203,47,0,0,0,0,277500
13418,Inside,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1117,GasA,Y,1132,1320,0,0,3,1,4,1,9,1,BuiltIn,2004,3,691,Y,113,32,0,0,0,0,309000
10859,Corner,1Fam,1Story,5,5,1994,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1097,GasA,Y,1097,0,0,0,1,1,3,1,6,0,Attchd,1995,2,672,Y,392,64,0,0,0,0,145000
